dir total orig_fail com_fail diff ratio
language/statements/class/subclass/builtin-objects/String 6 0 2 2 33%
language/statements/class/subclass/builtin-objects/Set 4 0 2 2 50%
language/statements/class/subclass/builtin-objects/Error 6 0 2 2 33%
language/statements/class/gen-method 114 0 12 12 10%
language/statements/class/async-gen-method-static 191 0 90 90 47%
language/statements/class/async-method-static 59 0 4 4 6%
language/statements/class/elements 3046 0 387 387 12%
language/statements/class/elements/evaluation-error 12 0 10 10 83%
language/statements/class/elements/async-gen-private-method 312 0 172 172 55%
language/statements/class/elements/private-methods 10 0 8 8 80%
language/statements/class/elements/async-gen-private-method-static 156 0 86 86 55%
language/statements/class/super 16 0 2 2 12%
language/statements/class/definition 130 0 40 40 30%
language/statements/class/strict-mode 4 0 1 1 25%
language/statements/class/method-static 35 0 4 4 11%
language/statements/class/accessor-name-inst 44 0 2 2 4%
language/statements/class/async-gen-method 382 0 180 180 47%
language/statements/class/name-binding 12 0 6 6 50%
language/statements/class/method 74 0 8 8 10%
language/statements/class/dstr 3840 0 944 944 24%
language/statements/class/arguments 4 0 2 2 50%
language/statements/class/accessor-name-static 44 0 2 2 4%
language/statements/generators 510 2 174 172 33%
language/statements/generators/forbidden-ext 5 0 2 2 40%
language/statements/generators/forbidden-ext/b1 2 0 2 2 100%
language/statements/generators/dstr 372 0 156 156 41%
language/statements/for-in 208 0 10 10 4%
language/expressions 20347 980 4005 3025 14%
language/expressions/dynamic-import 1112 755 690 -65 -5%
language/expressions/dynamic-import/catch 224 128 184 56 25%
language/expressions/dynamic-import/syntax 400 146 66 -80 -20%
language/expressions/dynamic-import/syntax/valid 206 146 66 -80 -38%
language/expressions/delete 99 0 6 6 6%
language/expressions/array 104 0 4 4 3%
language/expressions/optional-chaining 76 2 4 2 2%
language/expressions/async-function 161 0 22 22 13%
language/expressions/async-function/forbidden-ext 10 0 4 4 40%
language/expressions/async-function/forbidden-ext/b1 4 0 4 4 100%
language/expressions/in 154 4 2 -2 -1%
language/expressions/arrow-function 643 0 87 87 13%
language/expressions/arrow-function/forbidden-ext 5 0 2 2 40%
language/expressions/arrow-function/forbidden-ext/b1 2 0 2 2 100%
language/expressions/arrow-function/dstr 454 0 72 72 15%
language/expressions/async-generator 1212 2 512 510 42%
language/expressions/async-generator/forbidden-ext 10 0 4 4 40%
language/expressions/async-generator/forbidden-ext/b1 4 0 4 4 100%
language/expressions/async-generator/dstr 744 0 312 312 41%
language/expressions/assignment 1460 16 170 154 10%
language/expressions/assignment/dstr 644 0 152 152 23%
language/expressions/exponentiation 88 0 10 10 11%
language/expressions/function 484 4 78 74 15%
language/expressions/function/dstr 372 0 72 72 19%
language/expressions/await 42 0 4 4 9%
language/expressions/call 171 8 16 8 4%
language/expressions/object 2251 22 466 444 19%
language/expressions/object/dstr 1122 2 302 300 26%
language/expressions/object/method-definition 557 12 132 120 21%
language/expressions/object/method-definition/forbidden-ext 20 0 8 8 40%
language/expressions/object/method-definition/forbidden-ext/b1 8 0 8 8 100%
language/expressions/super 168 0 36 36 21%
language/expressions/import.meta 44 10 16 6 13%
language/expressions/import.meta/syntax 36 4 10 6 16%
language/expressions/new 146 0 6 6 4%
language/expressions/yield 127 4 44 40 31%
language/expressions/class 8017 16 1516 1500 18%
language/expressions/class/gen-method-static 55 0 6 6 10%
language/expressions/class/async-method 118 0 8 8 6%
language/expressions/class/gen-method 114 0 12 12 10%
language/expressions/class/async-gen-method-static 191 0 90 90 47%
language/expressions/class/async-method-static 59 0 4 4 6%
language/expressions/class/elements 2840 2 310 308 10%
language/expressions/class/elements/evaluation-error 12 0 10 10 83%
language/expressions/class/elements/async-gen-private-method 312 0 172 172 55%
language/expressions/class/elements/private-methods 10 0 8 8 80%
language/expressions/class/elements/async-gen-private-method-static 156 0 86 86 55%
language/expressions/class/method-static 35 0 4 4 11%
language/expressions/class/accessor-name-inst 46 0 2 2 4%
language/expressions/class/async-gen-method 382 0 180 180 47%
language/expressions/class/method 74 0 8 8 10%
language/expressions/class/dstr 3840 0 944 944 24%
language/expressions/class/accessor-name-static 46 0 2 2 4%
language/expressions/generators 546 6 176 170 31%
language/expressions/generators/forbidden-ext 5 0 2 2 40%
language/expressions/generators/forbidden-ext/b1 2 0 2 2 100%
language/expressions/generators/dstr 372 0 156 156 41%
language/expressions/assignmenttargettype 617 4 0 -4 0%
language/expressions/new.target 28 0 2 2 7%
language/expressions/async-arrow-function 108 2 9 7 6%
language/expressions/async-arrow-function/forbidden-ext 5 0 2 2 40%
language/expressions/async-arrow-function/forbidden-ext/b1 2 0 2 2 100%
language/expressions/typeof 34 2 4 2 5%
language/literals 881 174 2 -172 -19%
language/literals/regexp 326 164 2 -162 -49%
language/literals/regexp/named-groups 112 108 0 -108 -96%
language/literals/numeric 301 10 0 -10 -3%
language/literals/numeric/numeric-separators 126 10 0 -10 -7%
language/computed-property-names 96 0 12 12 12%
language/computed-property-names/class 58 0 8 8 13%
language/computed-property-names/class/static 28 0 8 8 28%
language/computed-property-names/to-name-side-effects 8 0 4 4 50%
language/arguments-object 460 0 3 3 0%
language/arguments-object/unmapped 8 0 3 3 37%
language/import 32 20 0 -20 -62%
language/reserved-words 54 2 0 -2 -3%
language/function-code 440 1 42 41 9%
harness 182 0 2 2 1%
intl402 1924 114 116 2 0%
intl402/Segmenter 156 0 2 2 1%
intl402/Segmenter/constructor 74 0 2 2 2%
intl402/Segmenter/constructor/constructor 40 0 2 2 5%
